observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,count,classificationMethod,classificationTimestamp,observationComments
2023_05_5A_1_obs_06011,5A_P800HK06278624,2023_05_5A_1_img_06098,2023_05_5A_1_evt_02004,2023-08-14T12:15:27-08:00,2023-08-14T12:15:27-08:00,media,Empty,NA,machine,2023-11-21 11:05:10.990587,comments
2023_05_5A_1_obs_06012,5A_P800HK06278624,2023_05_5A_1_img_06099,2023_05_5A_1_evt_02004,2023-08-14T12:15:32-08:00,2023-08-14T12:15:32-08:00,media,Empty,NA,machine,2023-11-21 10:34:11.360406,comments
2023_05_5A_1_obs_06013,5A_P800HK06278624,2023_05_5A_1_img_06100,2023_05_5A_1_evt_02005,2023-08-14T12:15:50-08:00,2023-08-14T12:15:50-08:00,media,Empty,NA,machine,2023-11-21 10:34:11.783387,comments
2023_05_5A_1_obs_06014,5A_P800HK06278624,2023_05_5A_1_img_06101,2023_05_5A_1_evt_02005,2023-08-14T12:15:55-08:00,2023-08-14T12:15:55-08:00,media,Empty,NA,machine,2023-11-21 11:05:11.419650,comments
2023_05_5A_1_obs_06015,5A_P800HK06278624,2023_05_5A_1_img_06102,2023_05_5A_1_evt_02005,2023-08-14T12:16:00-08:00,2023-08-14T12:16:00-08:00,media,Empty,NA,machine,2023-11-21 11:05:11.846886,comments
2023_05_5A_1_obs_06016,5A_P800HK06278624,2023_05_5A_1_img_06103,2023_05_5A_1_evt_02006,2023-08-14T12:16:20-08:00,2023-08-14T12:16:20-08:00,media,Empty,NA,machine,2023-11-21 10:34:12.205815,comments
2023_05_5A_1_obs_06017,5A_P800HK06278624,2023_05_5A_1_img_06104,2023_05_5A_1_evt_02006,2023-08-14T12:16:25-08:00,2023-08-14T12:16:25-08:00,media,Empty,NA,machine,2023-11-21 11:05:12.274270,comments
2023_05_5A_1_obs_06018,5A_P800HK06278624,2023_05_5A_1_img_06105,2023_05_5A_1_evt_02006,2023-08-14T12:16:30-08:00,2023-08-14T12:16:30-08:00,media,Empty,NA,machine,2023-11-21 11:05:12.704029,comments
2023_05_5A_1_obs_06019,5A_P800HK06278624,2023_05_5A_1_img_06106,2023_05_5A_1_evt_02007,2023-08-14T12:21:15-08:00,2023-08-14T12:21:15-08:00,media,Empty,NA,machine,2023-11-21 11:05:13.130934,comments
2023_05_5A_1_obs_06020,5A_P800HK06278624,2023_05_5A_1_img_06107,2023_05_5A_1_evt_02007,2023-08-14T12:21:20-08:00,2023-08-14T12:21:20-08:00,media,Empty,NA,machine,2023-11-21 10:34:12.632103,comments
2023_05_5A_1_obs_06021,5A_P800HK06278624,2023_05_5A_1_img_06108,2023_05_5A_1_evt_02007,2023-08-14T12:21:25-08:00,2023-08-14T12:21:25-08:00,media,Empty,NA,machine,2023-11-21 11:05:13.559367,comments
2023_05_5A_1_obs_06022,5A_P800HK06278624,2023_05_5A_1_img_06109,2023_05_5A_1_evt_02008,2023-08-14T12:21:41-08:00,2023-08-14T12:21:41-08:00,media,Empty,NA,machine,2023-11-21 11:05:13.986490,comments
2023_05_5A_1_obs_06023,5A_P800HK06278624,2023_05_5A_1_img_06110,2023_05_5A_1_evt_02008,2023-08-14T12:21:46-08:00,2023-08-14T12:21:46-08:00,media,Empty,NA,machine,2023-11-21 11:05:14.414668,comments
2023_05_5A_1_obs_06024,5A_P800HK06278624,2023_05_5A_1_img_06111,2023_05_5A_1_evt_02008,2023-08-14T12:21:51-08:00,2023-08-14T12:21:51-08:00,media,Empty,NA,machine,2023-11-21 10:34:13.054946,comments
2023_05_5A_1_obs_06025,5A_P800HK06278624,2023_05_5A_1_img_06112,2023_05_5A_1_evt_02009,2023-08-14T12:22:10-08:00,2023-08-14T12:22:10-08:00,media,Empty,NA,machine,2023-11-21 10:34:13.478171,comments
2023_05_5A_1_obs_06026,5A_P800HK06278624,2023_05_5A_1_img_06113,2023_05_5A_1_evt_02009,2023-08-14T12:22:15-08:00,2023-08-14T12:22:15-08:00,media,Empty,NA,machine,2023-11-21 11:05:14.841265,comments
2023_05_5A_1_obs_06027,5A_P800HK06278624,2023_05_5A_1_img_06114,2023_05_5A_1_evt_02009,2023-08-14T12:22:20-08:00,2023-08-14T12:22:20-08:00,media,Empty,NA,machine,2023-11-21 11:05:15.268584,comments
2023_05_5A_1_obs_06028,5A_P800HK06278624,2023_05_5A_1_img_06115,2023_05_5A_1_evt_02010,2023-08-14T12:27:01-08:00,2023-08-14T12:27:01-08:00,media,Empty,NA,machine,2023-11-21 10:34:13.901579,comments
