observationID,deploymentID,sequenceID,mediaID,timeStamp,observationType,cameraSetup,taxonID,scientificName,count,countNew,lifeStage,sex,behaviour,individualID,classificationMethod,classifiedBy
year_camLoc_camID_tripNum_img_00018_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00021_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00024_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00028_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00030_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00040_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00042_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00046_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00048_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00052_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00060_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
year_camLoc_camID_tripNum_img_00063_obs1,CAMID_CAMLOC,seq1,,2022-11-22T06:00:24.035091,Empty,False,,,,,,,,,custom_train_efficientnet_lite3,efficientnet_lite3
