imageLabel,imageName,accuracy,classificationTimeStamp
Empty,year_camLoc_camID_tripNum_img_00051.jpg,"(63.67, '%.')",2022-11-21 21:54:41.731651
Empty,year_camLoc_camID_tripNum_img_00054.jpg,"(65.23, '%.')",2022-11-21 21:54:42.158171
Empty,year_camLoc_camID_tripNum_img_00057.jpg,"(65.62, '%.')",2022-11-21 21:54:42.588000
Empty,year_camLoc_camID_tripNum_img_00058.jpg,"(65.62, '%.')",2022-11-21 21:54:43.032781
Empty,year_camLoc_camID_tripNum_img_00069.jpg,"(63.67, '%.')",2022-11-21 21:54:43.461995
Empty,year_camLoc_camID_tripNum_img_00070.jpg,"(65.62, '%.')",2022-11-21 21:54:43.889879
Empty,year_camLoc_camID_tripNum_img_00076.jpg,"(67.97, '%.')",2022-11-21 21:54:44.317588
Empty,year_camLoc_camID_tripNum_img_00077.jpg,"(54.3, '%.')",2022-11-21 21:54:44.745081
Empty,year_camLoc_camID_tripNum_img_00082.jpg,"(65.62, '%.')",2022-11-21 21:54:45.174110
Empty,year_camLoc_camID_tripNum_img_00087.jpg,"(65.62, '%.')",2022-11-21 21:54:45.607274
Empty,year_camLoc_camID_tripNum_img_00004.jpg,"(68.75, '%.')",2022-11-21 21:54:46.034457
Empty,year_camLoc_camID_tripNum_img_00016.jpg,"(64.06, '%.')",2022-11-21 21:54:46.460112
Empty,year_camLoc_camID_tripNum_img_00017.jpg,"(60.16, '%.')",2022-11-21 21:54:46.886832
Empty,year_camLoc_camID_tripNum_img_00091.jpg,"(54.3, '%.')",2022-11-21 21:54:47.313538
Empty,year_camLoc_camID_tripNum_img_00096.jpg,"(65.62, '%.')",2022-11-21 21:54:47.739891
Empty,year_camLoc_camID_tripNum_img_00098.jpg,"(65.23, '%.')",2022-11-21 21:54:48.166466
Empty,year_camLoc_camID_tripNum_img_00094.jpg,"(68.75, '%.')",2022-11-21 21:54:48.593487
Empty,year_camLoc_camID_tripNum_img_00095.jpg,"(63.67, '%.')",2022-11-21 21:54:49.019559
Empty,year_camLoc_camID_tripNum_img_00089.jpg,"(63.28, '%.')",2022-11-21 21:54:49.446999
Empty,year_camLoc_camID_tripNum_img_00090.jpg,"(67.97, '%.')",2022-11-21 21:54:49.874025
Empty,year_camLoc_camID_tripNum_img_00097.jpg,"(66.02, '%.')",2022-11-21 21:54:50.301133
Empty,year_camLoc_camID_tripNum_img_00099.jpg,"(73.05, '%.')",2022-11-21 21:54:50.727233
Empty,year_camLoc_camID_tripNum_img_00100.jpg,"(63.67, '%.')",2022-11-21 21:54:51.154374
Empty,year_camLoc_camID_tripNum_img_00101.jpg,"(65.62, '%.')",2022-11-21 21:54:51.580622
Empty,year_camLoc_camID_tripNum_img_00092.jpg,"(63.67, '%.')",2022-11-21 21:54:52.007338
Empty,year_camLoc_camID_tripNum_img_00093.jpg,"(62.11, '%.')",2022-11-21 21:54:52.435084
